Position,Track Name,Artist,Streams,URL,Week
1,Blinding Lights,The Weeknd,52375259,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-03-20--2020-03-27
2,The Box,Roddy Ricch,33753609,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-03-20--2020-03-27
3,Dance Monkey,Tones And I,31463007,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-03-20--2020-03-27
4,Don't Start Now,Dua Lipa,29155117,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-03-20--2020-03-27
5,Roses - Imanbek Remix,SAINt JHN,26653236,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-03-20--2020-03-27
6,In Your Eyes,The Weeknd,26303039,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,2020-03-20--2020-03-27
7,death bed (coffee for your head) (feat. beabadoobee),Powfu,25224363,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-03-20--2020-03-27
8,Say So,Doja Cat,24483960,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-03-20--2020-03-27
9,Intentions (feat. Quavo),Justin Bieber,23572775,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-03-20--2020-03-27
10,After Hours,The Weeknd,22128235,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,2020-03-20--2020-03-27
11,Falling,Trevor Daniel,21964590,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,2020-03-20--2020-03-27
12,Safaera,Bad Bunny,21435766,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,2020-03-20--2020-03-27
13,Tusa,KAROL G,20442021,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-03-20--2020-03-27
14,Rojo,J Balvin,20014087,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,2020-03-20--2020-03-27
15,ROXANNE,Arizona Zervas,19925333,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-03-20--2020-03-27
16,Sunday Best,Surfaces,19639221,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,2020-03-20--2020-03-27
17,Blueberry Faygo,Lil Mosey,18936405,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,2020-03-20--2020-03-27
18,Heartless,The Weeknd,17499569,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8,2020-03-20--2020-03-27
19,Supalonely,BENEE,17467771,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,2020-03-20--2020-03-27
20,Someone You Loved,Lewis Capaldi,17426722,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-03-20--2020-03-27
21,Alone Again,The Weeknd,17377014,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E,2020-03-20--2020-03-27
22,La Difícil,Bad Bunny,17272302,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,2020-03-20--2020-03-27
23,Circles,Post Malone,17130781,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-03-20--2020-03-27
24,Hardest To Love,The Weeknd,17127974,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX,2020-03-20--2020-03-27
25,Godzilla (feat. Juice WRLD),Eminem,16658185,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-03-20--2020-03-27
26,Amarillo,J Balvin,16606127,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL,2020-03-20--2020-03-27
27,Scared To Live,The Weeknd,16594250,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv,2020-03-20--2020-03-27
28,Too Late,The Weeknd,16386558,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3,2020-03-20--2020-03-27
29,Save Your Tears,The Weeknd,15902301,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,2020-03-20--2020-03-27
30,Si Veo a Tu Mamá,Bad Bunny,15490596,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,2020-03-20--2020-03-27
31,Adore You,Harry Styles,15343149,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-03-20--2020-03-27
32,Memories,Maroon 5,14930716,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-03-20--2020-03-27
33,Morado,J Balvin,14763331,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr,2020-03-20--2020-03-27
34,Ignorantes,Bad Bunny,14413408,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,2020-03-20--2020-03-27
35,Snowchild,The Weeknd,14311652,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7,2020-03-20--2020-03-27
36,Faith,The Weeknd,14173534,https://open.spotify.com/track/3orEOtd8CPL8GFlpRpKuoE,2020-03-20--2020-03-27
37,Escape From LA,The Weeknd,13918912,https://open.spotify.com/track/1sOW4PuG5X3Ie3EXUhAopJ,2020-03-20--2020-03-27
38,Yummy,Justin Bieber,13550528,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR,2020-03-20--2020-03-27
39,Physical,Dua Lipa,13454412,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V,2020-03-20--2020-03-27
40,everything i wanted,Billie Eilish,13380285,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-03-20--2020-03-27
41,bad guy,Billie Eilish,13355989,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020-03-20--2020-03-27
42,Life Is Good (feat. Drake),Future,13229303,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020-03-20--2020-03-27
43,Before You Go,Lewis Capaldi,12581914,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-03-20--2020-03-27
44,Señorita,Shawn Mendes,12229964,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-03-20--2020-03-27
45,WHATS POPPIN,Jack Harlow,11376426,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,2020-03-20--2020-03-27
46,Sigues Con El,Dimelo Flow,10642952,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,2020-03-20--2020-03-27
47,Vete,Bad Bunny,10593930,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,2020-03-20--2020-03-27
48,La Santa,Bad Bunny,10471875,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,2020-03-20--2020-03-27
49,You should be sad,Halsey,10069499,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,2020-03-20--2020-03-27
50,Moral of the Story,Ashe,10059221,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,2020-03-20--2020-03-27
51,Repeat After Me (Interlude),The Weeknd,10058303,https://open.spotify.com/track/40U8d12pC5UHqmHwXjHjjl,2020-03-20--2020-03-27
52,Tattoo,Rauw Alejandro,10041684,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d,2020-03-20--2020-03-27
53,My Oh My (feat. DaBaby),Camila Cabello,10014175,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2020-03-20--2020-03-27
54,No Time To Die,Billie Eilish,9946529,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,2020-03-20--2020-03-27
55,RITMO (Bad Boys For Life),Black Eyed Peas,9907140,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,2020-03-20--2020-03-27
56,High Fashion (feat. Mustard),Roddy Ricch,9827914,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,2020-03-20--2020-03-27
57,Boss Bitch,Doja Cat,9718612,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,2020-03-20--2020-03-27
58,Stupid Love,Lady Gaga,9633417,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb,2020-03-20--2020-03-27
59,Yo Perreo Sola,Bad Bunny,9507085,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,2020-03-20--2020-03-27
60,Ride It,Regard,9500445,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2020-03-20--2020-03-27
61,Azul,J Balvin,9493538,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,2020-03-20--2020-03-27
62,lovely (with Khalid),Billie Eilish,9443016,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2020-03-20--2020-03-27
63,That Way - Bonus Track,Lil Uzi Vert,9431018,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,2020-03-20--2020-03-27
64,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,9365932,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2020-03-20--2020-03-27
65,CITY OF ANGELS,24kGoldn,9345733,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq,2020-03-20--2020-03-27
66,Savage,Megan Thee Stallion,9275649,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,2020-03-20--2020-03-27
67,Diosa,Myke Towers,9146240,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky,2020-03-20--2020-03-27
68,Until I Bleed Out,The Weeknd,9132077,https://open.spotify.com/track/2BcnxwxBuar5wjCaLqm5N3,2020-03-20--2020-03-27
69,P2,Lil Uzi Vert,9119786,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,2020-03-20--2020-03-27
70,Skechers,DripReport,9111985,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,2020-03-20--2020-03-27
71,Lose Control,MEDUZA,9083721,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2020-03-20--2020-03-27
72,I Don't Care (with Justin Bieber),Ed Sheeran,8874200,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2020-03-20--2020-03-27
73,hot girl bummer,blackbear,8631364,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2020-03-20--2020-03-27
74,Blanco,J Balvin,8608612,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590,2020-03-20--2020-03-27
75,If the World Was Ending - feat. Julia Michaels,JP Saxe,8591720,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-03-20--2020-03-27
76,Lucid Dreams,Juice WRLD,8081502,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2020-03-20--2020-03-27
77,Hola - Remix,Dalex,8068712,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,2020-03-20--2020-03-27
78,"10,000 Hours (with Justin Bieber)",Dan + Shay,7955532,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020-03-20--2020-03-27
79,What A Man Gotta Do,Jonas Brothers,7879762,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd,2020-03-20--2020-03-27
80,Walk Em Down (feat. Roddy Ricch),NLE Choppa,7878031,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg,2020-03-20--2020-03-27
81,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,7837565,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ,2020-03-20--2020-03-27
82,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,7772328,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn,2020-03-20--2020-03-27
83,What If I Told You That I Love You,Ali Gatie,7612183,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi,2020-03-20--2020-03-27
84,Forever (feat. Post Malone & Clever),Justin Bieber,7603239,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ,2020-03-20--2020-03-27
85,Beautiful People (feat. Khalid),Ed Sheeran,7591433,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2020-03-20--2020-03-27
86,when the party's over,Billie Eilish,7585415,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2020-03-20--2020-03-27
87,Rosa,J Balvin,7564893,https://open.spotify.com/track/464uJVLmr0fDJGXOnciaDe,2020-03-20--2020-03-27
88,Gris,J Balvin,7514854,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk,2020-03-20--2020-03-27
89,To Die For,Sam Smith,7461458,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx,2020-03-20--2020-03-27
90,Myron,Lil Uzi Vert,7452688,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ,2020-03-20--2020-03-27
91,Know Your Worth,Khalid,7360982,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf,2020-03-20--2020-03-27
92,HIGHEST IN THE ROOM,Travis Scott,7278956,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2020-03-20--2020-03-27
93,Never Seen the Rain,Tones And I,7183077,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,2020-03-20--2020-03-27
94,Ballin' (with Roddy Ricch),Mustard,7084789,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,2020-03-20--2020-03-27
95,Lalala,Y2K,6987799,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2020-03-20--2020-03-27
96,Shallow,Lady Gaga,6959207,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2020-03-20--2020-03-27
97,No Idea,Don Toliver,6934755,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU,2020-03-20--2020-03-27
98,Keii,Anuel AA,6902481,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs,2020-03-20--2020-03-27
99,Pero Ya No,Bad Bunny,6863722,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy,2020-03-20--2020-03-27
100,Like That (feat. Gucci Mane),Doja Cat,6842249,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s,2020-03-20--2020-03-27
101,It's You,Ali Gatie,6743897,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2020-03-20--2020-03-27
102,rockstar (feat. 21 Savage),Post Malone,6665333,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2020-03-20--2020-03-27
103,Negro,J Balvin,6651425,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN,2020-03-20--2020-03-27
104,Watermelon Sugar,Harry Styles,6611114,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-03-20--2020-03-27
105,Falling,Harry Styles,6610693,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2020-03-20--2020-03-27
106,Suicidal,YNW Melly,6576075,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,2020-03-20--2020-03-27
107,Lose You To Love Me,Selena Gomez,6549115,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,2020-03-20--2020-03-27
108,7 rings,Ariana Grande,6494325,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2020-03-20--2020-03-27
109,China,Anuel AA,6472924,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2020-03-20--2020-03-27
110,In Your Eyes (feat. Alida),Robin Schulz,6464724,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC,2020-03-20--2020-03-27
111,Believer,Imagine Dragons,6463053,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-03-20--2020-03-27
112,Maniac,Conan Gray,6386663,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,2020-03-20--2020-03-27
